query	lat	lon	lat_min	lat_max	lon_min	lon_max	human_check
south sk, sk, canada	51.93035	-105.537285	NA	NA	NA	NA	NA
pending, on, canada	50.000678	-86.000977	41.6765556	56.8593635	-95.1537399	-74.3201062	none
labrador-grenfell, nl, canada	53.296028	-60.337925	NA	NA	NA	NA	NA
southern health mb, mb, canada	49.260232	-97.286277	NA	NA	NA	NA	NA
outside qu?ec, qc, canada	51.4535756	-57.13276474	51.4526481	51.4545383	-57.1338616	-57.1314007	none
hastings prince edward, on, canada	44.1635631	-77.3819537	44.1635131	44.1636131	-77.3820037	-77.3819037	none
nord-du-qu?ec, qc, canada	55.75332265	-70.38950411	48.9265289	62.5804863	-79.774135	-63.3197869	none
porcupine, on, canada	48.4939712	-81.1676413	48.4539712	48.5339712	-81.2076413	-81.1276413	none
, qc, canada	52.4760892	-71.8258668	44.9913689	62.5804863	-79.774135	-57.1054864	none
saguenay?ac-saint-jean, qc, canada	50.3237707	-71.82218943	47.9498808	52.6963604	-74.4438903	-69.8713941	none
to be determined, pe, canada	46.3355508	-63.1466676	45.8494597	47.6024791	-64.5519125	-61.3993669	Howard - approximate
to be determined, nl, canada	53.8217327	-61.2295532	46.604663	60.3777064	-67.8216853	-52.6127655	Howard - approximate
nord-du-qu??bec, qc, canada	55.75332265	-70.38950411	48.9265289	62.5804863	-79.774135	-63.3197869	none
saguenay??ac-saint-jean, qc, canada	50.3237707	-71.82218943	47.9498808	52.6963604	-74.4438903	-69.8713941	none
not disclosed, nt	64.514071	-120.885084	NA	NA	NA	NA	NA
montréal, qc, canada	45.4972159	-73.6103642	45.4100756	45.7047897	-73.9741567	-73.4742952	none
montérégie, qc, canada	45.55282015	-72.94670456566357	44.9913689	46.113465	-74.6684979	-72.3155509	none
mauricie - centre du québec, qc, canada	45.85405125	-72.48231787837906	45.8535916	45.8545628	-72.4830877	-72.4816442	none
chaudière-appalaches, qc, canada	46.5895686	-71.01398860552078	45.7687422	47.4109862	-72.0543195	-69.6252841	none
lanaudière, qc, canada	46.7133016	-73.97491530860543	45.6687165	47.7629629	-74.8913623	-72.9568259	none
outside québec, qc, canada	51.45357559999999	-57.13276474211004	51.4526481	51.4545383	-57.1338616	-57.1314007	none
nord-du-québec, qc, canada	55.75332265	-70.38950410691567	48.9265289	62.5804863	-79.774135	-63.3197869	none
saguenay–lac-saint-jean, qc, canada	50.3237707	-71.82218942786042	47.9498808	52.6963604	-74.4438903	-69.8713941	none
